type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,hour_of_day
CASH_OUT,91957.12,100521.0,8563.88,410609.9,502567.03,15
CASH_OUT,540415.75,51858.0,0.0,0.0,540415.75,13
CASH_OUT,65706.57,9608.0,0.0,116441.84,182148.42,15
PAYMENT,15563.36,78020.0,62456.64,0.0,0.0,16
PAYMENT,2082.9,26111.0,24028.1,0.0,0.0,21
PAYMENT,14412.93,10727.0,0.0,0.0,0.0,14
CASH_OUT,97731.76,0.0,0.0,132326.83,230058.6,13
TRANSFER,2793619.5,0.0,0.0,12057371.0,14850991.0,9
PAYMENT,11350.05,21295.0,9944.95,0.0,0.0,19
PAYMENT,8697.58,17455.97,8758.39,0.0,0.0,13
CASH_OUT,196075.47,0.0,0.0,293972.28,490047.75,18
CASH_OUT,231959.36,82409.0,0.0,560526.75,792486.1,13
CASH_OUT,26740.53,0.0,0.0,686837.1,713577.6,16
CASH_IN,221757.47,2021513.4,2243271.0,675362.75,453605.28,19
CASH_IN,87829.35,836.0,88665.35,374294.62,286465.25,10
CASH_OUT,86877.08,0.0,0.0,867516.75,954393.8,20
PAYMENT,15263.61,0.0,0.0,0.0,0.0,16
PAYMENT,5868.97,0.0,0.0,0.0,0.0,19
TRANSFER,1024868.1,0.0,0.0,1258495.1,2283363.2,11
PAYMENT,5961.36,0.0,0.0,0.0,0.0,13
PAYMENT,8518.22,26738.0,18219.78,0.0,0.0,20
CASH_OUT,315237.22,0.0,0.0,725330.25,1040567.44,16
CASH_IN,348162.16,1801.0,349963.16,214319.1,0.0,12
CASH_OUT,390850.1,0.0,0.0,426616.1,817466.2,17
CASH_IN,73009.61,2177.0,75186.61,570542.5,497532.88,10
CASH_OUT,153533.61,0.0,0.0,632990.75,600862.1,16
CASH_IN,123134.84,7086.0,130220.84,0.0,0.0,20
CASH_IN,320256.88,319975.84,640232.7,1616388.1,1296131.2,19
CASH_OUT,240417.75,0.0,0.0,2771780.2,3012198.0,17
CASH_IN,22621.96,6522280.5,6544902.5,248625.94,226003.98,19
CASH_IN,107169.8,5594824.0,5701994.0,2158811.5,2051641.6,23
CASH_OUT,29715.9,9084.0,0.0,298434.72,328150.62,13
CASH_OUT,84515.67,0.0,0.0,13453323.0,13537839.0,13
PAYMENT,16701.54,0.0,0.0,0.0,0.0,12
CASH_OUT,33778.55,49665.0,15886.45,0.0,33778.55,21
PAYMENT,9764.98,0.0,0.0,0.0,0.0,17
PAYMENT,10715.24,0.0,0.0,0.0,0.0,13
CASH_OUT,126780.07,0.0,0.0,615715.06,742495.1,9
CASH_OUT,256427.17,29845.0,0.0,252541.12,1230676.6,9
PAYMENT,835.12,132485.0,131649.88,0.0,0.0,20
CASH_IN,291256.56,22096750.0,22388006.0,358614.4,67357.84,21
CASH_OUT,125678.5,10147.0,0.0,150229.38,275907.88,17
PAYMENT,1320.75,0.0,0.0,0.0,0.0,21
PAYMENT,2828.1,192317.98,189489.89,0.0,0.0,12
CASH_OUT,77303.41,380.0,0.0,279492.12,356795.53,15
CASH_IN,143104.8,20538.0,163642.8,8986709.0,8843604.0,10
CASH_OUT,216685.64,0.0,0.0,397470.75,614156.4,20
CASH_OUT,225037.81,0.0,0.0,12962961.0,13187999.0,15
PAYMENT,11334.29,74226.0,62891.71,0.0,0.0,15
CASH_IN,83402.89,59527.0,142929.89,535717.6,452314.75,11
CASH_IN,26171.16,9343544.0,9369715.0,445763.0,419591.84,18
CASH_IN,63147.72,19216508.0,19279656.0,797096.56,733948.8,15
CASH_OUT,133027.52,0.0,0.0,300139.8,433167.34,20
TRANSFER,912367.06,0.0,0.0,2170819.5,3083186.8,10
PAYMENT,11047.08,10792.76,0.0,0.0,0.0,16
CASH_OUT,38888.21,263.0,0.0,0.0,38888.21,18
CASH_IN,155297.66,107378.0,262675.66,154019.8,0.0,20
PAYMENT,10471.82,0.0,0.0,0.0,0.0,9
PAYMENT,27111.25,0.0,0.0,0.0,0.0,18
PAYMENT,8758.61,59605.0,50846.39,0.0,0.0,0
CASH_OUT,171657.77,5061.0,0.0,12867877.0,13039535.0,18
CASH_OUT,121141.67,30952.0,0.0,1889329.4,2010471.1,10
CASH_IN,164512.48,6837401.0,7001913.5,834885.44,670372.94,19
CASH_IN,267180.03,8370.0,275550.03,100791.0,0.0,9
CASH_IN,455625.84,100501.0,556126.8,1771139.9,1315514.0,14
TRANSFER,1849810.1,0.0,0.0,2046772.1,3896582.2,15
CASH_OUT,304940.88,0.0,0.0,668157.0,973097.9,10
TRANSFER,1164999.4,0.0,0.0,11698423.0,12863423.0,13
TRANSFER,216816.69,18813.0,0.0,118689.95,335506.62,10
PAYMENT,8631.28,0.0,0.0,0.0,0.0,14
TRANSFER,576529.56,0.0,0.0,3793173.8,4369703.5,20
CASH_OUT,191537.34,219620.23,28082.9,358049.53,549586.9,9
CASH_OUT,283288.28,3772.0,0.0,59402.34,342690.62,12
PAYMENT,5704.45,259024.0,253319.55,0.0,0.0,1
CASH_OUT,76645.77,0.0,0.0,219655.7,296301.47,10
PAYMENT,3428.13,0.0,0.0,0.0,0.0,12
PAYMENT,13240.92,2173.0,0.0,0.0,0.0,20
CASH_OUT,106104.59,10899.0,0.0,0.0,106104.59,18
PAYMENT,32517.35,73879.17,41361.82,0.0,0.0,15
CASH_OUT,208641.45,10269.0,0.0,0.0,131878.3,14
CASH_OUT,233734.36,0.0,0.0,496570.56,903270.06,14
PAYMENT,12496.45,76712.99,64216.54,0.0,0.0,22
CASH_OUT,467006.03,0.0,0.0,820941.7,1287947.8,19
CASH_OUT,97956.71,51828.0,0.0,0.0,97956.71,17
CASH_OUT,2998.37,0.0,0.0,174200.84,177199.22,18
TRANSFER,356554.7,0.0,0.0,6352392.5,6708947.0,20
CASH_OUT,2897907.8,2897907.8,0.0,351034.56,3248942.5,14
TRANSFER,314387.56,5590.0,0.0,0.0,284476.97,13
CASH_OUT,230038.02,21530.0,0.0,149500.14,379538.16,16
PAYMENT,6515.44,0.0,0.0,0.0,0.0,15
PAYMENT,40129.22,17770.0,0.0,0.0,0.0,13
PAYMENT,11424.23,166.0,0.0,0.0,0.0,19
PAYMENT,28242.3,13474.0,0.0,0.0,0.0,18
PAYMENT,5421.19,164876.03,159454.83,0.0,0.0,14
TRANSFER,1566849.6,0.0,0.0,2798865.8,4365715.5,14
CASH_OUT,314567.34,0.0,0.0,2414623.2,2729190.8,20
CASH_OUT,109304.86,5013.0,0.0,0.0,109304.86,19
CASH_IN,150700.81,1709593.4,1860294.1,236020.12,85319.3,11
PAYMENT,9001.27,10699.81,1698.54,0.0,0.0,22
TRANSFER,45097.19,193159.6,148062.4,127161.03,172258.23,20
CASH_OUT,60092.84,159044.0,98951.16,0.0,60092.84,16
CASH_OUT,135402.12,800312.0,664909.9,0.0,135402.12,18
CASH_IN,181631.56,124.0,181755.56,978852.7,797221.1,19
CASH_IN,156573.44,1633371.8,1789945.2,1464108.9,1307535.4,18
CASH_IN,104978.97,13452196.0,13557175.0,190358.1,85379.13,12
CASH_OUT,412746.75,0.0,0.0,1085113.0,1497859.8,10
CASH_OUT,120025.03,114340.0,0.0,2547582.8,2667607.8,22
PAYMENT,40983.94,0.0,0.0,0.0,0.0,13
PAYMENT,8779.41,3904.0,0.0,0.0,0.0,19
CASH_OUT,44689.12,0.0,0.0,845513.06,890202.2,21
PAYMENT,6858.34,0.0,0.0,0.0,0.0,17
CASH_OUT,267917.56,0.0,0.0,448295.3,716212.9,10
TRANSFER,89283.95,0.0,0.0,113944.01,203227.95,14
PAYMENT,19329.61,71898.67,52569.06,0.0,0.0,14
TRANSFER,699461.44,0.0,0.0,3542996.2,4242457.5,23
CASH_IN,209713.38,18.0,209731.38,1061933.1,852219.75,15
PAYMENT,1057.08,0.0,0.0,0.0,0.0,11
PAYMENT,7776.61,74074.96,66298.34,0.0,0.0,11
PAYMENT,12989.69,252616.36,239626.67,0.0,0.0,14
CASH_IN,85125.92,93159.44,178285.36,0.0,0.0,14
CASH_OUT,141656.98,452147.0,310490.0,6176444.5,6318101.5,11
CASH_OUT,685444.06,99328.0,0.0,46670.54,732114.6,10
CASH_OUT,169324.1,30506.0,0.0,4554.71,173878.81,12
PAYMENT,5040.21,21691.8,16651.59,0.0,0.0,17
CASH_OUT,174740.2,0.0,0.0,534131.6,708871.8,9
PAYMENT,5425.29,151825.06,146399.77,0.0,0.0,18
PAYMENT,22142.51,65212.95,43070.44,0.0,0.0,15
CASH_OUT,149411.6,0.0,0.0,1835727.8,1985139.4,20
PAYMENT,10495.78,0.0,0.0,0.0,0.0,14
PAYMENT,14130.95,11318.0,0.0,0.0,0.0,13
CASH_OUT,209643.1,210736.0,1092.91,226128.08,435771.16,13
CASH_IN,5888.71,5023.0,10911.71,5051907.0,5046018.0,11
PAYMENT,8396.01,5031.0,0.0,0.0,0.0,15
CASH_OUT,142369.98,112393.0,0.0,3522052.0,3664422.0,19
TRANSFER,1527471.2,5563.0,0.0,2150856.8,3678328.0,15
PAYMENT,9108.42,61530.61,52422.19,0.0,0.0,16
PAYMENT,5088.25,0.0,0.0,0.0,0.0,18
CASH_IN,50389.29,4852.0,55241.29,0.0,0.0,22
CASH_IN,318653.7,3275450.5,3594104.2,3699964.5,3381311.0,14
CASH_IN,272877.56,8707620.0,8980498.0,1478042.0,1205164.5,10
CASH_IN,272368.53,11021615.0,11293984.0,3594979.8,3322611.2,20
DEBIT,99623.69,0.0,0.0,1186119.5,1285743.1,11
PAYMENT,15017.44,0.0,0.0,0.0,0.0,15
CASH_IN,38920.65,5301735.5,5340656.0,46199.57,7278.92,18
CASH_IN,96333.78,2981.0,99314.78,0.0,0.0,17
CASH_IN,119134.8,11180.0,130314.8,152011.69,32876.89,18
CASH_IN,112180.13,296954.0,409134.12,0.0,0.0,16
PAYMENT,2969.9,34868.0,31898.1,0.0,0.0,21
CASH_OUT,105661.29,0.0,0.0,14153175.0,14258837.0,15
CASH_OUT,155467.3,10002.0,0.0,456208.72,611676.0,14
PAYMENT,1495.16,2597.0,1101.84,0.0,0.0,21
PAYMENT,20155.92,65707.0,45551.08,0.0,0.0,10
CASH_IN,374877.6,410888.0,785765.56,0.0,0.0,18
PAYMENT,12307.08,10942.0,0.0,0.0,0.0,19
PAYMENT,3823.63,0.0,0.0,0.0,0.0,18
CASH_IN,58941.97,16921562.0,16980504.0,942619.0,998156.75,10
CASH_OUT,264904.34,0.0,0.0,1307394.4,1572298.8,13
CASH_OUT,159334.6,0.0,0.0,218216.84,377551.44,19
CASH_OUT,513272.12,0.0,0.0,4976973.0,5490245.0,11
CASH_IN,10877.8,19315.0,30192.8,0.0,0.0,16
CASH_OUT,284727.53,0.0,0.0,13617539.0,13902267.0,9
PAYMENT,3492.16,15218.0,11725.84,0.0,0.0,12
PAYMENT,7940.09,40171.0,32230.91,0.0,0.0,23
PAYMENT,55184.66,394224.44,339039.78,0.0,0.0,21
CASH_OUT,57956.83,57046.0,0.0,2240378.2,2298335.0,12
PAYMENT,36078.68,152173.0,116094.32,0.0,0.0,9
CASH_IN,21652.29,15936974.0,15958626.0,1392868.4,1371216.1,12
CASH_OUT,44701.2,9539.0,0.0,33014.19,77715.39,19
CASH_IN,48676.42,5255051.5,5303728.0,58559.47,9883.05,18
PAYMENT,12295.58,0.0,0.0,0.0,0.0,19
CASH_IN,33694.96,3453179.8,3486874.8,113228.96,79534.0,13
PAYMENT,11566.49,0.0,0.0,0.0,0.0,20
CASH_OUT,108477.95,0.0,0.0,337730.2,446208.12,18
CASH_OUT,49659.0,281526.0,231867.0,394955.38,444614.38,13
CASH_IN,95919.7,4512500.5,4608420.0,283913.72,187994.02,12
CASH_OUT,155705.69,14043.0,0.0,1169737.1,1325442.9,15
TRANSFER,664012.6,0.0,0.0,1263617.8,1927630.5,18
PAYMENT,1416.81,370719.88,369303.06,0.0,0.0,13
PAYMENT,9815.41,0.0,0.0,0.0,0.0,20
CASH_OUT,63165.5,0.0,0.0,1649012.9,1712178.4,15
CASH_OUT,162737.69,1517.0,0.0,0.0,162737.69,12
PAYMENT,3789.71,59971.0,56181.29,0.0,0.0,16
TRANSFER,183928.94,32429.0,0.0,0.0,183928.94,10
PAYMENT,18501.94,0.0,0.0,0.0,0.0,0
CASH_OUT,85289.71,0.0,0.0,1799841.2,1885131.0,11
CASH_OUT,321405.53,36087.0,0.0,156373.44,843315.06,20
CASH_IN,175286.88,1815327.9,1990614.8,620608.0,445321.1,12
CASH_IN,133911.55,18528492.0,18662402.0,386029.75,252118.19,11
PAYMENT,43619.45,78167.74,34548.29,0.0,0.0,16
CASH_OUT,200568.4,0.0,0.0,1468160.1,1668728.5,19
CASH_OUT,244820.7,0.0,0.0,1614268.2,1859089.0,14
CASH_OUT,627699.7,4105.0,0.0,144366.95,772066.7,17
CASH_OUT,149638.66,10336.0,0.0,0.0,149638.66,13
PAYMENT,1887.13,15212.0,13324.87,0.0,0.0,13
PAYMENT,1351.34,251548.0,250196.67,0.0,0.0,16
TRANSFER,155771.84,0.0,0.0,1105277.6,1023310.8,11
PAYMENT,8648.99,30489.91,21840.93,0.0,0.0,15
CASH_IN,119840.16,3440491.0,3560331.2,787812.06,667971.9,22
CASH_IN,180543.81,2650730.0,2831273.8,2979526.0,2798982.2,16
TRANSFER,174568.52,0.0,0.0,1358929.9,1533498.4,15
PAYMENT,4983.22,0.0,0.0,0.0,0.0,20
PAYMENT,6557.98,91389.74,84831.77,0.0,0.0,11
CASH_OUT,125850.92,302010.0,176159.08,186988.33,85228.29,13
CASH_OUT,44861.75,0.0,0.0,125128.53,169990.28,11
PAYMENT,10659.7,100186.0,89526.3,0.0,0.0,10
PAYMENT,3599.56,212282.0,208682.44,0.0,0.0,16
PAYMENT,17537.75,0.0,0.0,0.0,0.0,9
CASH_IN,155825.56,3608282.5,3764108.0,3148000.5,2992175.0,12
CASH_OUT,82253.69,299854.0,217600.31,60155.74,142409.44,19
PAYMENT,28659.51,0.0,0.0,0.0,0.0,13
CASH_IN,27203.86,3747967.0,3775171.0,2282930.8,2255727.0,14
PAYMENT,12947.61,109696.0,96748.39,0.0,0.0,19
CASH_OUT,88764.78,0.0,0.0,516678.22,605443.0,12
PAYMENT,329.61,0.0,0.0,0.0,0.0,14
CASH_OUT,87908.48,451728.94,363820.47,4372640.0,4460548.5,17
CASH_IN,553595.3,361540.12,915135.44,3852220.2,3298625.0,11
CASH_OUT,166608.58,8024.0,0.0,177893.56,344502.16,10
CASH_OUT,210933.6,0.0,0.0,9815593.0,10026526.0,11
CASH_OUT,75322.96,42448.0,0.0,6125873.5,6201196.5,13
CASH_OUT,112237.07,0.0,0.0,2797970.0,2910207.2,22
PAYMENT,15714.56,0.0,0.0,0.0,0.0,11
PAYMENT,7582.24,19912.0,12329.76,0.0,0.0,10
PAYMENT,10575.03,18948.0,8372.97,0.0,0.0,18
PAYMENT,6686.0,307072.97,300386.97,0.0,0.0,17
CASH_OUT,181162.73,51239.0,0.0,0.0,181162.73,18
TRANSFER,1221249.4,0.0,0.0,2858015.5,4079265.0,19
CASH_OUT,277588.8,7790.0,0.0,0.0,277588.8,12
CASH_IN,260455.98,1692.0,262147.97,181910.34,0.0,21
PAYMENT,10112.5,221.0,0.0,0.0,0.0,19
CASH_IN,223181.94,21939.0,245120.94,557110.7,333928.75,18
TRANSFER,616320.8,9046.0,0.0,492910.34,1254040.0,20
CASH_IN,229389.72,3516949.8,3746339.5,1077185.0,847795.3,19
PAYMENT,38438.11,0.0,0.0,0.0,0.0,11
CASH_OUT,266735.25,0.0,0.0,1891834.1,2158569.5,11
CASH_OUT,304233.28,0.0,0.0,685205.44,989438.7,16
CASH_OUT,400444.16,0.0,0.0,676011.6,1076455.8,21
CASH_IN,128995.88,4231535.5,4360531.5,299458.88,170463.0,14
CASH_OUT,268905.84,124161.0,0.0,217450.36,486356.2,13
CASH_OUT,65098.89,10817.34,0.0,2489317.0,2554416.0,18
PAYMENT,3889.44,5840.64,1951.21,0.0,0.0,19
CASH_IN,299789.78,15130.06,314919.84,1153228.4,853438.56,15
PAYMENT,2060.32,21294.0,19233.68,0.0,0.0,22
CASH_OUT,83282.09,0.0,0.0,629741.06,713023.2,13
CASH_IN,41528.72,556167.0,597695.75,327353.8,285825.1,17
CASH_IN,279953.1,3504638.2,3784591.2,2937306.5,2657353.2,11
PAYMENT,3365.6,0.0,0.0,0.0,0.0,11
CASH_IN,267802.8,17721.93,285524.72,7439072.0,7171269.0,2
PAYMENT,11979.09,53003.0,41023.91,0.0,0.0,21
PAYMENT,340.78,106821.0,106480.22,0.0,0.0,3
PAYMENT,8287.99,539085.5,530797.5,0.0,0.0,16
CASH_IN,115523.81,21107.0,136630.81,76215.62,0.0,11
TRANSFER,10000000.0,50834.0,0.0,161611.7,13726182.0,15
PAYMENT,8156.03,0.0,0.0,0.0,0.0,14
CASH_OUT,136219.11,0.0,0.0,142187.03,398515.22,18
PAYMENT,20572.42,0.0,0.0,0.0,0.0,19
CASH_OUT,134786.94,0.0,0.0,442277.84,577064.8,14
PAYMENT,10287.02,0.0,0.0,0.0,0.0,14
PAYMENT,10778.81,0.0,0.0,0.0,0.0,17
PAYMENT,21592.24,565552.44,543960.2,0.0,0.0,16
TRANSFER,414788.62,11220.0,0.0,274918.56,689707.2,12
CASH_OUT,148696.8,14537.0,0.0,617804.56,766501.4,13
CASH_OUT,5939.99,0.0,0.0,1000966.5,1006906.5,10
PAYMENT,17580.09,21384.0,3803.91,0.0,0.0,20
PAYMENT,2063.37,0.0,0.0,0.0,0.0,16
PAYMENT,12447.15,0.0,0.0,0.0,0.0,19
CASH_IN,145757.6,20712.98,166470.58,3516607.0,3370849.2,19
PAYMENT,11803.7,38888.47,27084.76,0.0,0.0,14
CASH_IN,121123.37,38370.0,159493.38,16119.42,0.0,16
CASH_OUT,16102.32,53508.0,37405.68,0.0,16102.32,19
CASH_IN,130479.97,66144.0,196623.97,0.0,0.0,14
PAYMENT,2416.63,10413.0,7996.37,0.0,0.0,13
PAYMENT,3078.29,64719.53,61641.24,0.0,0.0,17
PAYMENT,9428.96,255266.0,245837.05,0.0,0.0,20
PAYMENT,3450.27,16542.0,13091.73,0.0,0.0,14
CASH_IN,65795.16,541850.75,607645.9,16402896.0,16337100.0,17
TRANSFER,1733983.8,40899.0,0.0,59579.91,1793563.6,16
CASH_IN,252835.84,11226562.0,11479398.0,1856545.8,1603709.9,19
CASH_OUT,489599.16,0.0,0.0,8698774.0,9188373.0,19
CASH_IN,161799.12,48733.0,210532.12,0.0,0.0,20
PAYMENT,17604.01,43.0,0.0,0.0,0.0,12
PAYMENT,31443.87,0.0,0.0,0.0,0.0,11
PAYMENT,20422.03,36723.54,16301.51,0.0,0.0,18
PAYMENT,2395.93,204648.81,202252.88,0.0,0.0,15
TRANSFER,29538.91,103680.0,74141.09,175015.33,204554.25,18
CASH_IN,120274.49,22417.0,142691.48,1563109.1,1442834.6,17
CASH_IN,161126.69,556082.0,717208.7,1415526.8,1254400.1,12
CASH_OUT,39005.5,10696.0,0.0,30665.36,69670.86,19
DEBIT,3898.93,284.0,0.0,2459600.0,2463499.0,19
TRANSFER,710949.3,57196.0,0.0,0.0,710949.3,19
CASH_IN,245212.14,14764.0,259976.14,7817105.0,7571892.5,18
CASH_OUT,20791.24,0.0,0.0,1208189.2,1228980.5,15
CASH_OUT,137054.77,21884.0,0.0,0.0,137054.77,13
CASH_OUT,115883.83,32841.0,0.0,0.0,115883.83,13
CASH_IN,38325.52,529320.8,567646.3,42254.0,3928.48,16
CASH_OUT,80502.1,0.0,0.0,3312410.0,3392912.0,19
PAYMENT,5563.36,0.0,0.0,0.0,0.0,19
CASH_OUT,51861.9,0.0,0.0,1329906.6,1381768.6,17
PAYMENT,9319.25,431320.0,422000.75,0.0,0.0,14
CASH_IN,87337.73,153.0,87490.73,65263.55,14633.31,19
CASH_OUT,58008.74,0.0,0.0,430266.6,488275.34,18
CASH_OUT,13932.97,21205.0,7272.03,0.0,13932.97,16
PAYMENT,14848.16,54424.0,39575.84,0.0,0.0,16
PAYMENT,3789.78,0.0,0.0,0.0,0.0,12
PAYMENT,49576.81,52486.0,2909.19,0.0,0.0,13
CASH_OUT,158578.9,54004.0,0.0,11840572.0,11999151.0,15
CASH_IN,166048.75,101555.0,267603.75,1971342.4,1805293.6,20
CASH_OUT,199260.45,0.0,0.0,7310581.0,7509841.5,11
PAYMENT,1121.22,17285.0,16163.78,0.0,0.0,14
CASH_IN,121857.39,21102.0,142959.39,0.0,0.0,13
TRANSFER,4271521.5,34616.84,0.0,4662312.5,8933834.0,15
PAYMENT,2729.55,53902.55,51173.0,0.0,0.0,17
PAYMENT,2084.6,116740.0,114655.4,0.0,0.0,20
CASH_OUT,41419.93,377.0,0.0,0.0,41419.93,13
CASH_IN,183930.6,6510330.5,6694261.0,861172.3,768032.44,12
CASH_OUT,124163.73,637.0,0.0,0.0,124163.73,10
PAYMENT,1474.95,10776.0,9301.05,0.0,0.0,20
CASH_IN,202537.78,13385408.0,13587946.0,10707666.0,10505128.0,11
PAYMENT,5814.35,0.0,0.0,0.0,0.0,16
PAYMENT,20311.9,481846.2,461534.28,0.0,0.0,17
PAYMENT,16698.98,0.0,0.0,0.0,0.0,22
PAYMENT,34284.03,0.0,0.0,0.0,0.0,17
PAYMENT,7523.78,305689.2,298165.4,0.0,0.0,19
CASH_IN,258330.36,42812.0,301142.38,4933287.0,4674956.5,19
PAYMENT,8658.22,0.0,0.0,0.0,0.0,9
PAYMENT,307.05,33525.0,33217.95,0.0,0.0,21
PAYMENT,435.96,161.0,0.0,0.0,0.0,0
CASH_OUT,202327.03,14624.0,0.0,77498.7,279825.72,19
CASH_IN,407853.56,54144.0,461997.56,0.0,0.0,14
TRANSFER,461424.47,0.0,0.0,1222043.4,1683467.9,11
CASH_OUT,112919.72,28204.0,0.0,0.0,112919.72,12
PAYMENT,60439.0,11563.0,0.0,0.0,0.0,12
CASH_OUT,430180.56,0.0,0.0,1264584.5,1694765.1,19
CASH_OUT,254494.05,0.0,0.0,464803.66,719297.7,11
PAYMENT,18425.73,40222.0,21796.27,0.0,0.0,14
PAYMENT,7726.75,12372.0,4645.25,0.0,0.0,17
PAYMENT,18950.21,0.0,0.0,0.0,0.0,10
PAYMENT,24041.02,206.0,0.0,0.0,0.0,10
CASH_IN,133255.1,580998.75,714253.9,393276.16,260021.05,12
CASH_IN,4295.02,10560.0,14855.02,3011248.2,3006953.2,20
CASH_OUT,49207.63,51039.0,1831.37,414464.62,463672.28,16
CASH_IN,385535.4,258520.19,644055.6,5381494.0,4995958.5,8
CASH_OUT,80128.77,42868.0,0.0,1046151.7,1126280.5,21
PAYMENT,6979.25,104676.0,97696.75,0.0,0.0,20
PAYMENT,1188.02,10547.0,9358.98,0.0,0.0,13
CASH_IN,128980.1,1438383.2,1567363.2,156527.42,27547.32,10
CASH_IN,323734.16,637144.3,960878.44,369869.38,46135.24,18
TRANSFER,247600.03,0.0,0.0,821940.7,1069540.8,18
CASH_OUT,67610.26,102646.0,35035.74,77763.33,145373.6,16
TRANSFER,1050316.4,0.0,0.0,1588152.4,2638468.8,20
CASH_OUT,46382.61,0.0,0.0,1081754.8,1128137.4,10
CASH_OUT,49153.92,4274.0,0.0,270459.34,319613.25,12
PAYMENT,9028.16,14802.0,5773.84,0.0,0.0,10
PAYMENT,1809.18,0.0,0.0,0.0,0.0,15
PAYMENT,5869.72,0.0,0.0,0.0,0.0,19
PAYMENT,2036.05,0.0,0.0,0.0,0.0,20
CASH_OUT,131774.11,0.0,0.0,211261.03,343035.12,9
PAYMENT,313.41,203152.0,202838.6,0.0,0.0,12
PAYMENT,13869.5,5331.0,0.0,0.0,0.0,19
CASH_OUT,140149.1,0.0,0.0,219418.27,359567.38,11
CASH_OUT,433150.78,6433.0,0.0,0.0,433150.78,19
TRANSFER,643969.3,0.0,0.0,1116248.6,1760217.9,16
TRANSFER,4728.01,0.0,0.0,1082280.9,1087008.9,13
CASH_OUT,45401.24,0.0,0.0,2570347.5,2615748.8,11
CASH_OUT,180596.02,0.0,0.0,6304869.5,6485465.5,15
PAYMENT,3038.54,0.0,0.0,0.0,0.0,12
CASH_OUT,41529.32,0.0,0.0,77872.79,119402.1,19
PAYMENT,12434.33,153635.0,141200.67,0.0,0.0,11
PAYMENT,10023.4,45491.0,35467.6,0.0,0.0,17
CASH_IN,217377.81,10147.0,227524.81,2961.63,0.0,11
CASH_IN,75732.79,100712.0,176444.8,0.0,0.0,20
PAYMENT,7093.2,8638.19,1544.99,0.0,0.0,0
PAYMENT,2779.58,41500.0,38720.42,0.0,0.0,14
PAYMENT,34053.94,3282.0,0.0,0.0,0.0,14
CASH_OUT,240566.45,0.0,0.0,1953131.5,2193698.0,19
CASH_OUT,184625.8,0.0,0.0,185117.44,369743.22,13
PAYMENT,18620.01,15939.0,0.0,0.0,0.0,9
CASH_OUT,1244.49,15000.0,13755.51,1960251.8,1961496.2,13
CASH_OUT,81553.33,4030.0,0.0,20814918.0,20896472.0,18
CASH_OUT,88136.06,0.0,0.0,4510790.5,4598927.0,10
CASH_OUT,202514.77,0.0,0.0,609895.5,812410.25,14
PAYMENT,1219.72,419.0,0.0,0.0,0.0,18
PAYMENT,4015.95,6003.0,1987.05,0.0,0.0,13
CASH_OUT,253388.33,0.0,0.0,1913221.8,2166610.0,18
CASH_OUT,174713.44,202959.0,28245.56,0.0,174713.44,16
CASH_OUT,12397.86,0.0,0.0,0.0,12397.86,17
