type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,hour_of_day,isFraud
CASH_OUT,111027.66,0.0,0.0,119014.91,230042.56,19,0
CASH_IN,59477.46,5427797.5,5487275.0,217203.66,157726.19,10,0
CASH_IN,13155.3,150165.0,163320.3,3372935.2,3359780.0,22,0
TRANSFER,3875762.0,0.0,0.0,30024952.0,33900710.0,17,0
PAYMENT,16903.92,387267.9,370364.0,0.0,0.0,16,0
CASH_OUT,220461.95,0.0,0.0,3557243.8,3777705.8,19,0
CASH_OUT,227507.66,0.0,0.0,517858.75,745366.44,20,0
CASH_OUT,344071.6,0.0,0.0,3354624.2,3698695.8,19,0
TRANSFER,6858.36,104179.0,97320.64,0.0,6858.36,18,0
CASH_OUT,81934.26,0.0,0.0,3543222.0,6402469.5,9,0
PAYMENT,9354.48,55540.0,46185.52,0.0,0.0,13,0
PAYMENT,10298.35,29782.0,19483.65,0.0,0.0,14,0
CASH_OUT,12722.7,21273.0,8550.3,216748.83,229471.53,16,0
PAYMENT,7615.93,5537.0,0.0,0.0,0.0,0,0
PAYMENT,311.2,125891.06,125579.86,0.0,0.0,16,0
CASH_OUT,31063.29,10691.0,0.0,20566.24,812216.2,8,0
CASH_OUT,210142.52,6600.0,0.0,1400886.2,1611028.8,10,0
CASH_OUT,16910.95,0.0,0.0,76791.61,93702.55,12,0
TRANSFER,11295.0,0.0,0.0,107986.88,119281.88,22,0
PAYMENT,6769.58,0.0,0.0,0.0,0.0,14,0
CASH_IN,438526.22,1967595.4,2406121.5,11153151.0,10845712.0,16,0
PAYMENT,9712.3,11484.0,1771.7,0.0,0.0,10,0
TRANSFER,137571.6,0.0,0.0,199450.17,66086.27,12,0
CASH_OUT,171283.34,0.0,0.0,3744315.0,4185439.2,16,0
CASH_IN,35125.19,3425426.8,3460552.0,296715.75,261590.56,11,0
CASH_OUT,397485.53,2416.0,0.0,54170.23,451655.75,18,0
TRANSFER,157473.14,19977.0,0.0,0.0,157473.14,18,0
PAYMENT,43046.96,0.0,0.0,0.0,0.0,23,0
TRANSFER,1363070.9,244008.0,0.0,0.0,1363070.9,19,0
CASH_IN,114792.71,19940.0,134732.7,5199652.0,5084859.5,11,0
PAYMENT,13755.67,95223.21,81467.55,0.0,0.0,13,0
CASH_OUT,238090.2,302759.0,64668.79,35053.93,273144.12,11,0
PAYMENT,5091.75,103974.76,98883.01,0.0,0.0,12,0
PAYMENT,17732.08,0.0,0.0,0.0,0.0,18,0
PAYMENT,28682.6,25249.0,0.0,0.0,0.0,17,0
CASH_IN,152931.02,4256.0,157187.02,6109610.5,5956679.5,12,0
CASH_OUT,196685.75,0.0,0.0,626292.0,822977.75,15,0
CASH_OUT,73779.72,0.0,0.0,513641.3,587421.06,13,0
CASH_IN,159355.62,17442532.0,17601888.0,596045.5,436689.9,16,0
CASH_OUT,184394.88,156414.92,0.0,401873.75,586268.6,11,0
CASH_OUT,274290.88,129090.0,0.0,433278.44,707569.3,13,0
PAYMENT,10729.59,0.0,0.0,0.0,0.0,10,0
CASH_OUT,223625.72,10406.0,0.0,120576.32,411432.28,9,0
PAYMENT,6782.47,76073.28,69290.81,0.0,0.0,13,0
CASH_OUT,159970.12,0.0,0.0,621662.3,781632.44,15,0
PAYMENT,17021.04,11508.0,0.0,0.0,0.0,11,0
CASH_OUT,51362.68,0.0,0.0,651073.2,702435.9,13,0
CASH_IN,95477.82,1959275.6,2054753.4,6053321.0,5957843.5,13,0
CASH_OUT,117895.26,22894.0,0.0,3323665.5,3441560.8,15,0
TRANSFER,307967.84,61933.04,0.0,1509950.5,1817918.2,16,0
CASH_OUT,23675.86,0.0,0.0,1632750.0,1656425.9,19,0
PAYMENT,12143.61,104349.05,92205.45,0.0,0.0,10,0
CASH_OUT,161839.22,52084.0,0.0,312301.22,474140.44,18,0
CASH_IN,207583.28,22403.0,229986.28,0.0,0.0,20,0
PAYMENT,7382.52,0.0,0.0,0.0,0.0,10,0
CASH_IN,10514.33,928802.2,939316.5,175489.23,164974.9,13,0
PAYMENT,3044.01,71754.0,68709.99,0.0,0.0,19,0
CASH_OUT,182551.2,107512.0,0.0,92465.19,275016.4,17,0
PAYMENT,40231.76,11793.0,0.0,0.0,0.0,13,0
CASH_OUT,7853.54,0.0,0.0,222750.06,230603.61,14,0
PAYMENT,15093.02,24541.6,9448.58,0.0,0.0,14,0
PAYMENT,2862.1,305370.5,302508.4,0.0,0.0,21,0
CASH_IN,174664.86,3569.0,178233.86,2697436.5,2522771.5,9,0
PAYMENT,2690.25,719822.4,717132.1,0.0,0.0,10,0
CASH_OUT,123652.28,9087.0,0.0,1804260.5,1927912.9,13,0
CASH_OUT,68267.65,43323.77,0.0,1035124.25,1103391.9,21,0
CASH_IN,70037.99,12217449.0,12287487.0,2248411.5,2178373.5,22,0
PAYMENT,11042.7,168108.0,157065.3,0.0,0.0,15,0
PAYMENT,10914.38,0.0,0.0,0.0,0.0,17,0
CASH_IN,317910.38,193996.0,511906.38,0.0,0.0,13,0
CASH_OUT,8789.97,0.0,0.0,4519908.0,4528698.0,17,0
PAYMENT,28976.7,202.0,0.0,0.0,0.0,17,0
PAYMENT,9917.89,8118.97,0.0,0.0,0.0,23,0
CASH_IN,579104.25,2311614.5,2890718.8,809123.6,230019.38,23,0
PAYMENT,9963.88,22104.0,12140.12,0.0,0.0,9,0
PAYMENT,17416.01,0.0,0.0,0.0,0.0,20,0
TRANSFER,632894.6,3928.49,0.0,6661689.0,7294584.0,10,0
PAYMENT,115.94,0.0,0.0,0.0,0.0,7,0
PAYMENT,47514.48,0.0,0.0,0.0,0.0,9,0
PAYMENT,8419.88,114555.0,106135.12,0.0,0.0,20,0
CASH_OUT,80489.84,0.0,0.0,2927880.8,3008370.5,12,0
CASH_IN,383279.66,4796791.0,5180070.5,645080.1,261800.47,15,0
CASH_OUT,123942.14,286677.78,162735.64,9594677.0,9718619.0,15,0
TRANSFER,356874.8,0.0,0.0,12947029.0,13303904.0,11,0
CASH_IN,92352.76,148.0,92500.76,0.0,0.0,17,0
PAYMENT,27465.37,0.0,0.0,0.0,0.0,12,0
CASH_OUT,37030.08,48517.0,11486.92,1332937.9,1369967.9,12,0
CASH_OUT,316029.4,0.0,0.0,6823861.0,7139890.5,12,0
PAYMENT,12574.42,0.0,0.0,0.0,0.0,17,0
CASH_OUT,164413.06,0.0,0.0,3502629.5,3667042.5,21,0
CASH_OUT,23452.71,0.0,0.0,1597554.8,1621007.5,12,0
CASH_OUT,68627.04,0.0,0.0,18949432.0,19018060.0,13,0
CASH_IN,231289.58,1337647.9,1568937.4,739211.0,507921.38,21,0
CASH_OUT,310566.88,343.0,0.0,0.0,725342.0,16,0
CASH_IN,152324.05,22340.0,174664.05,0.0,0.0,15,0
CASH_OUT,3358.34,188525.72,185167.38,138930.62,142288.95,21,0
PAYMENT,914.67,0.0,0.0,0.0,0.0,11,0
CASH_IN,38512.5,4721.0,43233.5,0.0,0.0,10,0
CASH_OUT,514212.97,9538.0,0.0,0.0,514212.97,15,0
PAYMENT,9313.43,20988.0,11674.57,0.0,0.0,6,0
DEBIT,4954.85,41884.0,36929.15,289286.72,294241.56,17,0
TRANSFER,1286454.6,1090254.5,0.0,1619604.1,3090350.5,12,0
TRANSFER,364683.94,0.0,0.0,487147.25,851831.2,16,0
CASH_OUT,53295.33,0.0,0.0,689349.6,742645.0,20,0
CASH_IN,18425.58,790988.9,809414.5,1369716.6,1351291.1,20,0
CASH_OUT,154783.8,0.0,0.0,8553258.0,8708041.0,19,0
CASH_OUT,402455.2,0.0,0.0,468844.44,871299.6,18,0
CASH_IN,17227.33,9870654.0,9887881.0,12868990.0,12851763.0,15,0
PAYMENT,5131.16,220652.95,215521.8,0.0,0.0,18,0
CASH_OUT,75397.65,0.0,0.0,1178755.8,1254153.5,11,0
CASH_OUT,6489.34,0.0,0.0,1246471.6,1252961.0,19,0
PAYMENT,14603.66,31955.0,17351.34,0.0,0.0,18,0
PAYMENT,10172.31,0.0,0.0,0.0,0.0,12,0
PAYMENT,11710.7,0.0,0.0,0.0,0.0,14,0
PAYMENT,6736.48,105400.0,98663.52,0.0,0.0,23,0
PAYMENT,15607.55,408878.0,393270.44,0.0,0.0,11,0
PAYMENT,20893.78,31448.0,10554.22,0.0,0.0,20,0
PAYMENT,14939.86,0.0,0.0,0.0,0.0,13,0
CASH_IN,116148.23,18566370.0,18682518.0,192877.66,76729.43,17,0
PAYMENT,13320.09,3761.0,0.0,0.0,0.0,15,0
CASH_IN,340344.16,51003.0,391347.16,2331038.5,1990694.4,11,0
CASH_IN,123459.89,1103077.6,1226537.5,3956605.8,3498298.8,12,0
CASH_OUT,44321.85,0.0,0.0,2045218.4,2089540.2,17,0
CASH_IN,4540.48,6228581.0,6233121.5,1073532.9,1068992.4,14,0
PAYMENT,6333.19,69019.76,62686.56,0.0,0.0,23,0
PAYMENT,3231.43,23584.0,20352.57,0.0,0.0,21,0
PAYMENT,4666.79,30496.0,25829.21,0.0,0.0,21,0
CASH_OUT,216357.75,317214.88,100857.14,900248.1,1116605.9,21,0
CASH_OUT,324203.84,0.0,0.0,405825.97,730029.8,13,0
PAYMENT,394.41,0.0,0.0,0.0,0.0,19,0
CASH_IN,70567.62,3217024.5,3287592.2,425417.4,354849.78,11,0
TRANSFER,186121.58,0.0,0.0,499104.4,685226.0,16,0
PAYMENT,14677.0,16224.0,1547.0,0.0,0.0,19,0
CASH_IN,486.97,43038.0,43524.97,436416.34,435929.38,21,0
CASH_OUT,52030.32,251699.0,199668.69,39563.18,91593.5,9,0
CASH_OUT,20801.53,0.0,0.0,1702127.5,1722929.0,13,0
CASH_OUT,167488.7,0.0,0.0,1281454.1,1448942.8,20,0
PAYMENT,4286.45,0.0,0.0,0.0,0.0,21,0
PAYMENT,25120.71,40964.0,15843.29,0.0,0.0,9,0
CASH_IN,153255.62,102614.0,255869.62,190114.28,36858.66,13,0
CASH_IN,341273.03,7149889.0,7491162.0,1161358.9,820085.9,17,0
PAYMENT,18564.95,0.0,0.0,0.0,0.0,16,0
PAYMENT,24244.14,0.0,0.0,0.0,0.0,19,0
CASH_OUT,281573.88,10.0,0.0,0.0,281573.88,20,0
PAYMENT,5626.39,10168.0,4541.61,0.0,0.0,12,0
CASH_OUT,270545.62,10238.0,0.0,626499.3,897044.94,17,0
CASH_OUT,303579.3,303863.0,283.69,182557.27,486136.6,17,0
PAYMENT,5443.71,29764.0,24320.29,0.0,0.0,11,0
CASH_IN,9529.35,3111737.5,3121267.0,1007739.6,998210.3,11,0
PAYMENT,10224.02,10140.0,0.0,0.0,0.0,12,0
PAYMENT,5680.09,0.0,0.0,0.0,0.0,17,0
CASH_IN,313114.3,31523.0,344637.3,0.0,0.0,9,0
DEBIT,9547.55,0.0,0.0,1719487.5,1924615.4,19,0
TRANSFER,133481.66,130.0,0.0,11972.0,0.0,11,0
CASH_OUT,9176.91,8303.0,0.0,0.0,9176.91,9,0
PAYMENT,5461.98,501135.7,495673.72,0.0,0.0,17,0
CASH_OUT,62863.88,0.0,0.0,2119253.0,1983489.5,18,0
CASH_IN,174953.92,15819.0,190772.92,91377.76,0.0,20,0
PAYMENT,15268.07,44904.61,29636.54,0.0,0.0,14,0
CASH_IN,290269.6,51615.0,341884.6,400912.25,110642.65,10,0
PAYMENT,27591.63,11373.0,0.0,0.0,0.0,13,0
CASH_OUT,321682.66,0.0,0.0,385203.44,706886.06,14,0
PAYMENT,24642.47,0.0,0.0,0.0,0.0,14,0
CASH_OUT,136255.62,20439.0,0.0,1214493.0,1350748.8,10,0
TRANSFER,1324641.1,14877.0,0.0,0.0,1324641.1,13,0
CASH_IN,281442.47,6078291.0,6359733.5,3111424.8,3056061.2,18,0
PAYMENT,16661.92,0.0,0.0,0.0,0.0,11,0
PAYMENT,1301.19,83375.0,82073.81,0.0,0.0,18,0
CASH_OUT,271644.5,22700.0,0.0,720547.6,992192.1,16,0
PAYMENT,4044.09,3103.0,0.0,0.0,0.0,0,0
PAYMENT,3723.1,0.0,0.0,0.0,0.0,18,0
CASH_OUT,192657.8,284.0,0.0,0.0,192657.8,11,0
TRANSFER,694091.6,252.0,0.0,318400.2,1012491.8,12,0
CASH_IN,178397.95,180404.0,358801.94,0.0,0.0,12,0
CASH_OUT,221816.1,150331.0,0.0,287342.16,509158.25,19,0
CASH_OUT,207283.25,0.0,0.0,421147.62,628430.9,20,0
PAYMENT,20214.9,56707.0,36492.1,0.0,0.0,19,0
CASH_IN,128927.98,40815.0,169742.98,33569.19,0.0,23,0
CASH_OUT,124462.02,0.0,0.0,1567415.2,2150484.8,11,0
CASH_IN,1166.31,100429.0,101595.31,135467.88,13713.03,11,0
CASH_OUT,24485.63,55225.0,30739.37,8482505.0,8506991.0,19,0
PAYMENT,10184.16,59854.0,49669.84,0.0,0.0,22,0
TRANSFER,520882.66,0.0,0.0,1476704.8,1997587.4,18,0
TRANSFER,936096.1,0.0,0.0,1016157.56,1952253.6,11,0
CASH_OUT,264937.88,238316.6,0.0,376684.34,641622.25,12,0
CASH_OUT,537672.06,47278.0,0.0,3213375.0,3751047.0,15,0
PAYMENT,20851.69,90322.0,69470.31,0.0,0.0,19,0
PAYMENT,2297.03,0.0,0.0,0.0,0.0,21,0
CASH_OUT,455976.75,246832.0,0.0,399927.62,855904.4,18,0
CASH_OUT,258507.61,30843.0,0.0,0.0,258507.61,14,0
PAYMENT,7951.14,242005.1,234053.95,0.0,0.0,20,0
PAYMENT,1596.45,276975.8,275379.38,0.0,0.0,12,0
CASH_OUT,34171.59,0.0,0.0,360328.25,394499.84,17,0
CASH_IN,95701.75,10493.0,106194.75,503716.12,408014.38,20,0
CASH_OUT,143741.42,0.0,0.0,1554733.0,1698474.4,20,0
TRANSFER,13221292.0,0.0,0.0,27136250.0,40357540.0,17,0
TRANSFER,23815.34,12109.0,0.0,1069521.9,1093337.2,19,0
CASH_IN,506544.25,11362.0,517906.25,0.0,0.0,10,0
PAYMENT,11250.29,52311.0,41060.71,0.0,0.0,0,0
TRANSFER,281985.97,0.0,0.0,927975.75,1209961.8,20,0
PAYMENT,3250.95,0.0,0.0,0.0,0.0,18,0
TRANSFER,3108432.5,13936.0,0.0,1754199.8,4862632.0,11,0
PAYMENT,1896.86,0.0,0.0,0.0,0.0,20,0
TRANSFER,181798.38,0.0,0.0,556181.25,737979.6,10,0
CASH_OUT,188874.77,0.0,0.0,569771.6,758646.4,19,0
PAYMENT,5489.6,9973.0,4483.4,0.0,0.0,20,0
CASH_OUT,395954.78,0.0,0.0,1202253.4,1598208.1,15,0
CASH_IN,78038.36,6399930.0,6477968.5,1415496.2,1337457.9,9,0
PAYMENT,2320.05,154872.0,152551.95,0.0,0.0,15,0
CASH_OUT,702190.7,22318.0,0.0,149203.4,948692.4,16,0
PAYMENT,10269.02,2983.0,0.0,0.0,0.0,11,0
PAYMENT,5963.35,253465.0,247501.66,0.0,0.0,15,0
CASH_OUT,121647.56,103486.0,0.0,0.0,121647.56,14,0
PAYMENT,28692.55,238835.4,210142.84,0.0,0.0,11,0
PAYMENT,4832.9,123233.37,118400.46,0.0,0.0,20,0
PAYMENT,8763.73,33192.0,24428.27,0.0,0.0,19,0
PAYMENT,19594.85,19983.0,388.15,0.0,0.0,13,0
PAYMENT,1246.15,0.0,0.0,0.0,0.0,10,0
CASH_OUT,376053.7,0.0,0.0,11021308.0,11397362.0,14,0
CASH_OUT,183604.39,8545.0,0.0,2901567.8,2895502.2,14,0
CASH_IN,191681.77,13013.0,204694.77,144136.17,0.0,19,0
CASH_OUT,5614246.0,5614246.0,0.0,0.0,5614246.0,15,1
CASH_OUT,174799.39,32644.0,0.0,203684.23,378483.62,19,0
CASH_OUT,335345.8,75995.0,0.0,662002.3,997348.1,12,0
PAYMENT,52322.45,0.0,0.0,0.0,0.0,20,0
CASH_OUT,237492.48,0.0,0.0,19031490.0,19268982.0,12,0
CASH_IN,102279.93,101086.0,203365.94,0.0,0.0,12,0
CASH_IN,38511.01,145704.9,184215.9,70043.21,31532.2,14,0
CASH_OUT,183537.16,0.0,0.0,3980525.8,4164063.0,11,0
CASH_OUT,53311.93,0.0,0.0,595177.4,648489.3,22,0
CASH_IN,95930.77,10588.0,106518.77,0.0,0.0,14,0
PAYMENT,35276.02,0.0,0.0,0.0,0.0,12,0
CASH_IN,143764.25,4664091.0,4807855.0,3894983.8,3751219.5,19,0
PAYMENT,5959.89,98.0,0.0,0.0,0.0,16,0
CASH_OUT,151160.95,3929.85,0.0,5048685.0,5199846.0,1,0
CASH_IN,50581.42,4927543.0,4978124.5,427418.9,1154968.0,12,0
TRANSFER,276143.25,1187.0,0.0,70928.71,347071.94,19,0
CASH_OUT,265598.78,213.0,0.0,0.0,265598.78,14,0
CASH_OUT,114268.59,125073.0,10804.41,0.0,234826.7,18,0
CASH_IN,220665.44,52184.0,272849.44,143649.2,0.0,18,0
PAYMENT,17786.3,0.0,0.0,0.0,0.0,20,0
PAYMENT,30977.52,0.0,0.0,0.0,0.0,13,0
CASH_IN,140760.6,689.0,141449.6,0.0,0.0,14,0
CASH_IN,91649.08,157319.0,248968.08,110233.1,18584.02,11,0
CASH_IN,192315.95,3263808.2,3456124.0,256453.34,64137.38,18,0
CASH_IN,145179.16,8822082.0,8967261.0,1124546.0,1345824.5,15,0
CASH_IN,191460.19,19297.0,210757.19,22105.85,0.0,12,0
CASH_IN,239448.67,73260.0,312708.66,0.0,0.0,12,0
CASH_OUT,32849.1,25402.0,0.0,137928.7,170777.8,22,0
CASH_OUT,136264.27,0.0,0.0,160762.97,297027.22,10,0
TRANSFER,398169.53,126695.34,0.0,1503233.1,1901402.6,14,0
CASH_OUT,80503.51,505477.72,424974.2,779098.44,859602.0,17,0
CASH_OUT,194901.28,0.0,0.0,1249154.8,1444056.0,17,0
CASH_OUT,192404.97,0.0,0.0,1346804.4,1539209.4,12,0
CASH_OUT,295524.12,0.0,0.0,435918.16,731442.25,14,0
CASH_OUT,135099.56,0.0,0.0,996701.6,1131801.1,18,0
PAYMENT,23190.5,296914.88,273724.38,0.0,0.0,15,0
PAYMENT,125.7,204118.0,203992.3,0.0,0.0,21,0
TRANSFER,1685279.4,178039.0,0.0,100316.34,1785595.8,12,0
CASH_OUT,450150.8,0.0,0.0,2521519.8,2971670.8,9,0
CASH_OUT,233694.28,52108.0,0.0,6176413.5,6410108.0,12,0
CASH_OUT,211616.2,10945.01,0.0,718377.9,929994.06,13,0
CASH_OUT,118127.48,0.0,0.0,348980.38,467107.88,11,0
CASH_OUT,275416.62,71725.0,0.0,355539.47,630956.06,18,0
CASH_IN,106607.68,510.0,107117.68,531305.1,424697.47,17,0
PAYMENT,883.36,0.0,0.0,0.0,0.0,14,0
CASH_OUT,277703.66,0.0,0.0,363907.34,641611.0,11,0
CASH_OUT,334171.53,72.0,0.0,770625.0,1104796.5,19,0
CASH_OUT,225601.94,0.0,0.0,2520204.2,2745806.0,12,0
PAYMENT,1435.11,304904.0,303468.88,0.0,0.0,10,0
CASH_IN,234159.94,6728642.0,6962802.0,872870.7,638710.75,16,0
CASH_IN,90083.08,41986.0,132069.08,298287.88,208204.77,20,0
TRANSFER,671176.6,2075.0,0.0,95745.52,766922.1,18,0
PAYMENT,789.02,45594.9,44805.87,0.0,0.0,10,0
CASH_OUT,386996.34,59262.0,0.0,5953110.0,6148866.5,10,0
TRANSFER,239728.1,0.0,0.0,5844844.0,6084572.5,17,0
PAYMENT,2869.5,0.0,0.0,0.0,0.0,1,0
PAYMENT,18013.05,11094.0,0.0,0.0,0.0,17,0
CASH_OUT,242372.66,433402.53,191029.88,1000235.3,1242608.0,11,0
CASH_IN,47278.28,3152859.8,3200138.0,14336309.0,14289031.0,20,0
CASH_IN,151376.03,7042523.0,7193899.0,321518.75,170142.7,11,0
PAYMENT,16060.35,129.0,0.0,0.0,0.0,12,0
CASH_IN,205176.12,26676200.0,26881376.0,855439.6,650263.5,21,0
CASH_IN,216302.7,6058611.5,6274914.0,940654.5,724351.8,17,0
PAYMENT,7633.49,0.0,0.0,0.0,0.0,15,0
CASH_OUT,302452.4,0.0,0.0,2655243.8,2957696.0,16,0
DEBIT,14768.59,0.0,0.0,524730.25,539498.9,12,0
CASH_OUT,58093.3,265834.0,207740.7,175496.02,233589.31,11,0
PAYMENT,15868.95,0.0,0.0,0.0,0.0,17,0
PAYMENT,964.98,0.0,0.0,0.0,0.0,11,0
PAYMENT,10289.19,0.0,0.0,0.0,0.0,10,0
PAYMENT,29681.42,0.0,0.0,0.0,0.0,18,0
CASH_IN,148513.64,5480965.5,5629479.0,238870.19,90356.56,20,0
CASH_OUT,156356.69,0.0,0.0,317247.34,473604.03,10,0
PAYMENT,32992.93,0.0,0.0,0.0,0.0,20,0
TRANSFER,806119.94,0.0,0.0,1222792.9,2028912.9,18,0
PAYMENT,19967.79,20932.0,964.21,0.0,0.0,10,0
PAYMENT,14136.78,229502.55,215365.77,0.0,0.0,12,0
CASH_OUT,18666.87,51757.0,33090.13,139686.64,158353.52,16,0
PAYMENT,7506.71,0.0,0.0,0.0,0.0,13,0
PAYMENT,10448.68,489.0,0.0,0.0,0.0,14,0
CASH_OUT,407477.47,174546.94,0.0,389022.1,305929.88,17,0
CASH_IN,148047.98,3183494.5,3331542.5,505166.06,357118.1,16,0
CASH_OUT,187288.45,1835.0,0.0,0.0,187288.45,17,0
CASH_OUT,502728.1,867.0,0.0,8299.75,511027.84,19,0
PAYMENT,650.36,0.0,0.0,0.0,0.0,12,0
CASH_OUT,21232.99,0.0,0.0,1164150.9,1185383.9,19,0
CASH_OUT,306714.25,27632.42,0.0,925493.25,1232207.5,9,0
PAYMENT,9989.58,8586.0,0.0,0.0,0.0,19,0
CASH_IN,4690.2,775865.0,780555.2,0.0,0.0,14,0
CASH_IN,387380.78,26433.0,413813.78,1417920.9,1030540.06,13,0
TRANSFER,137158.05,42685.29,0.0,517020.44,654178.5,19,0
PAYMENT,5310.69,286.0,0.0,0.0,0.0,23,0
CASH_IN,99465.47,1507482.0,1606947.5,8542600.0,8443135.0,14,0
CASH_IN,196927.75,10907.0,207834.75,1131989.1,935061.44,16,0
CASH_IN,246687.27,20715.0,267402.25,0.0,0.0,11,0
CASH_OUT,308130.7,330477.0,22346.3,0.0,308130.7,13,0
CASH_OUT,101464.2,11270.0,0.0,333882.75,435346.97,13,0
CASH_IN,198852.7,2744754.0,2943606.5,2210031.8,2011179.0,22,0
PAYMENT,3085.78,1846.87,0.0,0.0,0.0,18,0
CASH_OUT,146559.77,100558.0,0.0,2427214.0,2573773.8,12,0
CASH_OUT,42016.96,0.0,0.0,134333.38,176350.34,13,0
CASH_OUT,8114.89,0.0,0.0,1190781.4,1198896.2,10,0
CASH_OUT,251335.77,0.0,0.0,465771.66,717107.44,12,0
PAYMENT,6123.86,157909.14,151785.27,0.0,0.0,21,0
CASH_IN,160670.22,103791.0,264461.22,31839.5,0.0,21,0
CASH_IN,145993.14,1887444.1,2033437.2,678448.2,532455.0,18,0
CASH_IN,282856.47,11334140.0,11616996.0,982617.44,699760.94,2,0
PAYMENT,2256.78,0.0,0.0,0.0,0.0,21,0
CASH_IN,26521.92,20935.0,47456.92,735004.6,708482.7,9,0
CASH_OUT,83467.03,52497.0,0.0,187484.56,270951.6,11,0
PAYMENT,4643.15,123213.62,118570.47,0.0,0.0,13,0
TRANSFER,14625.1,0.0,0.0,166218.69,180843.8,18,0
CASH_IN,114795.9,1416112.6,1530908.5,215645.06,100849.16,17,0
CASH_IN,5145.56,879.0,6024.56,277037.0,271891.44,15,0
PAYMENT,4463.6,65087.0,60623.4,0.0,0.0,22,0
PAYMENT,5387.65,50206.06,44818.41,0.0,0.0,17,0
PAYMENT,4244.71,48819.98,44575.28,0.0,0.0,0,0
CASH_OUT,149605.02,287472.0,137866.98,185703.34,335308.38,17,0
PAYMENT,28397.68,91.0,0.0,0.0,0.0,13,0
CASH_IN,216696.5,20013.0,236709.5,30000.71,0.0,11,0
PAYMENT,3585.02,0.0,0.0,0.0,0.0,16,0
TRANSFER,783988.0,0.0,0.0,1321605.1,2105593.0,23,0
CASH_OUT,318412.12,0.0,0.0,580559.5,898971.6,13,0
CASH_IN,87621.5,71198.0,158819.5,0.0,0.0,13,0
CASH_OUT,153420.72,5650.0,0.0,751135.94,597794.94,18,0
PAYMENT,5534.23,70305.0,64770.77,0.0,0.0,18,0
CASH_OUT,69923.54,245519.11,175595.56,1936690.8,2006614.2,21,0
PAYMENT,11901.66,86023.4,74121.74,0.0,0.0,20,0
CASH_OUT,3168.07,0.0,0.0,4121595.8,4124763.8,19,0
